Date,Power_kW,Holiday,Weekday,Hour,temp_C,solarRad_W/m2,Power-1,Power_kW_XGB,Power_kW_BT,Power_kW_GB
2019-03-15,199.34729166666668,0.0,4.0,11.5,15.401979166666665,251.52216666666666,199.529125,201.52885,201.66274852208335,202.04772534467926
2019-03-16,126.6995,1.0,5.0,11.5,15.053194444444443,245.30136458333334,126.78783333333332,127.92103,127.99503682875,127.26571235619603
2019-03-17,125.74266666666666,1.0,6.0,11.5,12.01951388888889,146.85527430555555,125.28345833333333,125.44184,125.40702663124999,125.10037059076693
2019-03-18,207.79375000000002,0.0,0.0,11.5,12.979861111111111,250.0282083333333,207.303625,206.59303,207.38162422250002,206.3475338794043
2019-03-19,205.32875,0.0,1.0,11.5,14.626145833333332,250.1901215277778,205.510625,205.60756,205.59601092333332,206.492816917853
2019-03-20,206.45487500000002,0.0,2.0,11.5,14.460729166666667,258.0191805555556,206.68679166666666,205.91284,206.56672949791667,207.04893202682152
2019-03-21,203.16099999999997,0.0,3.0,11.5,13.8190625,251.69160763888888,202.83900000000003,203.3508,202.72032746875,203.30134110884524
2019-03-22,197.64220833333334,0.0,4.0,11.5,14.732152777777777,258.19065277777776,197.779125,199.53146,199.7176965875,199.69893458555111
2019-03-23,129.625375,1.0,5.0,11.5,16.43173611111111,256.07186805555557,130.27970833333333,130.8958,131.46122535,130.60415573939963
2019-03-24,128.72341666666668,1.0,6.0,11.5,16.066354166666667,254.8334861111111,128.419625,128.8573,129.272125255,128.53410256885346
2019-03-25,192.99258333333333,0.0,0.0,11.5,17.891145833333333,258.8211145833333,192.1799583333333,194.12646,192.31096464125002,196.7676731280424
2019-03-26,189.13049999999998,0.0,1.0,11.5,17.59059027777778,247.9665173611111,189.26670833333333,191.22203,189.34330517375,195.10924908660854
2019-03-27,172.47424999999998,0.0,2.0,11.5,16.922777777777778,266.79488541666666,173.1207916666667,175.39006,174.56859840874998,177.5891625763197
2019-03-28,176.35804166666665,0.0,3.0,11.5,16.005555555555556,266.5215694444444,176.263375,179.28676,177.11336461,183.8827135642463
2019-03-29,165.95279166666668,0.0,4.0,11.5,15.239930555555555,257.4537569444445,166.44125,165.95068,167.97061910416667,168.1632600225656
2019-03-30,132.42529166666665,1.0,5.0,11.5,14.82125,199.9045451388889,132.39429166666667,131.88516,131.64742473458332,132.1729240485951
2019-03-31,130.125,1.0,6.0,11.956521739130435,15.685652173913043,261.6325615942029,129.96908695652172,130.53062,130.62480613,130.1610355925402
