Date,Power_kW,Holiday,Weekday,Hour,temp_C,solarRad_W/m2,Power-1
2017-07-22 13:00:00,140.0748622,1.0,5,13,22.212500000000002,932.75,138.4015087
2017-07-22 14:00:00,141.1908498,1.0,5,14,22.511666666666667,858.4166666666666,140.0748622
2017-07-22 15:00:00,141.0236191,1.0,5,15,22.022499999999997,745.7416666666667,141.1908498
2017-07-22 16:00:00,145.8797977,1.0,5,16,21.92,596.3333333333334,141.0236191
2017-07-22 17:00:00,150.1147739,1.0,5,17,21.276666666666667,411.2083333333333,145.8797977
2017-07-22 18:00:00,146.9129025,1.0,5,18,20.709166666666665,221.125,150.1147739
2017-07-22 19:00:00,145.5599873,1.0,5,19,19.425833333333333,55.09075000000001,146.9129025
2017-07-22 20:00:00,145.4915462,1.0,5,20,18.225833333333334,1.6605,145.5599873
2017-07-22 21:00:00,147.4238038,1.0,5,21,17.4375,1.2319166666666665,145.4915462
2017-07-22 22:00:00,146.1592132,1.0,5,22,16.760833333333334,1.32425,147.4238038
2017-07-22 23:00:00,143.6995196,1.0,5,23,16.54692307692308,2.202230769230769,146.1592132
2017-07-23 00:00:00,143.4083833,1.0,6,0,16.201666666666664,1.8550833333333332,143.6995196
2017-07-23 01:00:00,143.0372944,1.0,6,1,15.975833333333334,1.3428333333333333,143.4083833
2017-07-23 02:00:00,139.5551703,1.0,6,2,15.735,2.909666666666667,143.0372944
2017-07-23 03:00:00,133.7043981,1.0,6,3,15.612499999999999,1.7720833333333335,139.5551703
2017-07-23 04:00:00,134.4107856,1.0,6,4,15.518333333333333,2.1437500000000003,133.7043981
2017-07-23 05:00:00,134.3040426,1.0,6,5,15.658333333333333,9.258666666666667,134.4107856
2017-07-23 06:00:00,131.1888214,1.0,6,6,16.115,121.49333333333334,134.3040426
2017-07-23 07:00:00,132.3410179,1.0,6,7,17.419999999999998,303.45,131.1888214
2017-07-23 08:00:00,133.8634661,1.0,6,8,19.13416666666667,494.60833333333335,132.3410179
2017-07-23 09:00:00,135.4269371,1.0,6,9,20.625833333333333,671.3916666666667,133.8634661
2017-07-23 10:00:00,137.8849563,1.0,6,10,21.6925,808.9166666666666,135.4269371
2017-07-23 11:00:00,138.8648989,1.0,6,11,23.031666666666666,902.9166666666666,137.8849563
2017-07-23 12:00:00,142.5703461,1.0,6,12,23.72083333333333,943.5833333333334,138.8648989
2017-07-23 13:00:00,143.0718289,1.0,6,13,24.440833333333334,929.6666666666666,142.5703461
2017-07-23 14:00:00,144.5400684,1.0,6,14,24.396666666666665,866.5,143.0718289
2017-07-23 15:00:00,152.7431633,1.0,6,15,24.201666666666668,755.9416666666666,144.5400684
2017-07-23 16:00:00,148.8531135,1.0,6,16,23.885,599.9499999999999,152.7431633
2017-07-23 17:00:00,149.854614,1.0,6,17,22.555000000000003,411.93333333333334,148.8531135
2017-07-23 18:00:00,147.2605498,1.0,6,18,21.685000000000002,219.84166666666667,149.854614
